Nombre de la carrera,Dirección,Área del conocimiento,Datos Estadísticos (DGAE-UNAM),Aciertos Mínimos por Examen de Selección,Promedio de corte pase reglamentado,Cupo,Características del aspirante,Descripción de la carrera,Palabras asociadas,Latitud,Longitud,
Ciencias Políticas y Administración Pública - FES Aragón,"FES Aragón, Estado de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 10,049. La asignación total de lugares para esta carrera fue de 1,534, por lo que de cada 7 estudiantes que demandaron la carrera, ingresó 1. El 56% del alumnado de primer ingreso son mujeres y 44% hombres.",FES Aragón: 75,FES Aragón: 7.93,"Asignación total de 1,534 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Sociales. Interés por la política, el gobierno, la administración pública y los problemas nacionales e internacionales. Capacidad de análisis crítico, argumentación y debate.","El politólogo y administrador público analiza el poder, el Estado, el gobierno y las políticas públicas. Está capacitado para participar en la gestión gubernamental, el análisis político y la consultoría en el sector público y privado.","ciencia política, administración pública, gobierno, políticas públicas, estado, relaciones de poder, gestión pública, análisis político","19,4799","-99,0481",
Cinematografía - ENAC,"Escuela Nacional de Artes Cinematográficas, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,084. La asignación total de lugares para esta carrera fue de 112, por lo que de cada 10 estudiantes que demandaron la carrera, ingresó 1. El 46% del alumnado de primer ingreso son mujeres y 54% hombres.",ENAC: 85,ENAC: Sin registro,Asignación total de 112 lugares,"Haber cursado el Área de las Humanidades y Artes. Creatividad, sensibilidad artística y cultura general amplia. Interés por el cine, la narrativa audiovisual y las artes visuales. Capacidad de trabajo en equipo.","El cineasta es un profesional con una formación integral en las áreas de realización, producción, guionismo, fotografía, sonido y montaje cinematográfico, preparado para crear obras audiovisuales con calidad artística y técnica.","cinematografía, cine, dirección cinematográfica, producción audiovisual, guionismo, fotografía cinematográfica, montaje, sonido","19,3191","-99,1843",
Cirujano Dentista - Facultad de Odontología,"Facultad de Odontología, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 10,632. La asignación total de lugares para esta carrera fue de 1,313, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 68% del alumnado de primer ingreso son mujeres y 32% hombres.",Facultad de Odontología: 93,Facultad de Odontología: 8.72,"Asignación total de 1,313 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Conocimientos de biología, química y anatomía. Habilidad manual y psicomotricidad fina. Vocación de servicio y ética profesional.","El Cirujano Dentista es el profesional que previene, diagnostica y trata las enfermedades del sistema estomatognático, restaurando la salud bucal de los pacientes y promoviendo la prevención en la comunidad.","odontología, cirujano dentista, salud bucal, estomatología, dientes, ortodoncia, periodoncia, endodoncia","19,3314","-99,1881",
Cirujano Dentista - FES Iztacala,"FES Iztacala, Estado de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 10,632. La asignación total de lugares para esta carrera fue de 1,313, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 68% del alumnado de primer ingreso son mujeres y 32% hombres.",FES Iztacala: 89,FES Iztacala: 8.49,"Asignación total de 1,313 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Conocimientos de biología, química y anatomía. Habilidad manual y psicomotricidad fina. Vocación de servicio y ética profesional.","El Cirujano Dentista es el profesional que previene, diagnostica y trata las enfermedades del sistema estomatognático, restaurando la salud bucal de los pacientes y promoviendo la prevención en la comunidad.","odontología, cirujano dentista, salud bucal, estomatología, dientes, ortodoncia, periodoncia, endodoncia","19,5207","-99,1898",
Cirujano Dentista - FES Zaragoza,"FES Zaragoza, Estado de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 10,632. La asignación total de lugares para esta carrera fue de 1,313, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 68% del alumnado de primer ingreso son mujeres y 32% hombres.",FES Zaragoza: 90,FES Zaragoza: 8.61,"Asignación total de 1,313 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Conocimientos de biología, química y anatomía. Habilidad manual y psicomotricidad fina. Vocación de servicio y ética profesional.","El Cirujano Dentista es el profesional que previene, diagnostica y trata las enfermedades del sistema estomatognático, restaurando la salud bucal de los pacientes y promoviendo la prevención en la comunidad.","odontología, cirujano dentista, salud bucal, estomatología, dientes, ortodoncia, periodoncia, endodoncia","19,3936","-99,0383",
Cirujano Dentista - ENES León,"ENES Unidad León, Guanajuato","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 10,632. La asignación total de lugares para esta carrera fue de 1,313, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 68% del alumnado de primer ingreso son mujeres y 32% hombres.",ENES León: 85,ENES León: 8.40,"Asignación total de 1,313 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Conocimientos de biología, química y anatomía. Habilidad manual y psicomotricidad fina. Vocación de servicio y ética profesional.","El Cirujano Dentista es el profesional que previene, diagnostica y trata las enfermedades del sistema estomatognático, restaurando la salud bucal de los pacientes y promoviendo la prevención en la comunidad.","odontología, cirujano dentista, salud bucal, estomatología, dientes, ortodoncia, periodoncia, endodoncia","21,0382","-101,6589",
Comunicación - FES Acatlán,"FES Acatlán, Estado de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 5,423. La asignación total de lugares para esta carrera fue de 630, por lo que de cada 9 estudiantes que demandaron la carrera, ingresó 1. El 58% del alumnado de primer ingreso son mujeres y 42% hombres.",FES Acatlán: 71,FES Acatlán: 7.86,Asignación total de 630 lugares,"Haber cursado el Área de las Ciencias Sociales o Humanidades y Artes. Habilidad para la expresión oral y escrita. Interés por los medios de comunicación, la cultura y los fenómenos sociales. Capacidad crítica y analítica.","El comunicólogo estudia los procesos de comunicación humana en sus diversos niveles y modalidades. Analiza, produce y evalúa mensajes para medios masivos y organizacionales, comprendiendo el impacto social de los mismos.","comunicación, medios, periodismo, comunicación organizacional, publicidad, medios digitales","19,5135","-99,2484",
Comunicación y Periodismo - FES Aragón,"FES Aragón, Estado de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,924. La asignación total de lugares para esta carrera fue de 380, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 54% del alumnado de primer ingreso son mujeres y 46% hombres.",FES Aragón: 71,FES Aragón: 7.80,Asignación total de 380 lugares,"Haber cursado el Área de las Ciencias Sociales o Humanidades y Artes. Interés por el periodismo, los géneros periodísticos y la investigación. Habilidad para la redacción y la expresión oral. Ética profesional y vocación por la verdad.","El licenciado en Comunicación y Periodismo está formado para investigar, redactar, editar y difundir información de interés público a través de diversos medios, con un sentido ético y de responsabilidad social.","periodismo, comunicación, reporterismo, géneros periodísticos, medios informativos, investigación periodística, ética periodística","19,4799","-99,0481",
Contaduría - FCA Escolarizada,"Facultad de Contaduría y Administración, Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 9,158. La asignación total de lugares para esta carrera fue de 2,058, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 54% del alumnado de primer ingreso son mujeres y 46% hombres.",FCA Escolarizada: 78,FCA Escolarizada: 7.56,"Asignación total de 2,058 lugares (conjunto todas las sedes)","Bases matemáticas, lectura y redacción. Gusto por el análisis financiero, los números y la sistematización de información. Ética, responsabilidad y honestidad. Capacidad de análisis y síntesis.","El Contador Público es el profesional que genera, analiza e interpreta información financiera para la toma de decisiones en las organizaciones, cumpliendo con las disposiciones fiscales y legales vigentes.","contaduría, contabilidad, finanzas, auditoría, impuestos, estados financieros, costos, fiscal","19,3285","-99,1882",
Contaduría - FCA Abierta,"Facultad de Contaduría y Administración (Sistema Abierto), Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 9,158. La asignación total de lugares para esta carrera fue de 2,058, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 54% del alumnado de primer ingreso son mujeres y 46% hombres.",FCA Abierta: 63,FCA Abierta: 7.01,"Asignación total de 2,058 lugares (conjunto todas las sedes)","Bases matemáticas, lectura y redacción. Gusto por el análisis financiero, los números y la sistematización de información. Ética, responsabilidad y honestidad. Capacidad de análisis y síntesis.","El Contador Público es el profesional que genera, analiza e interpreta información financiera para la toma de decisiones en las organizaciones, cumpliendo con las disposiciones fiscales y legales vigentes.","contaduría, contabilidad, finanzas, auditoría, impuestos, estados financieros, costos, fiscal","19,3285","-99,1882",
Contaduría - FCA a Distancia,"Facultad de Contaduría y Administración (Modalidad a Distancia), Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 9,158. La asignación total de lugares para esta carrera fue de 2,058, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 54% del alumnado de primer ingreso son mujeres y 46% hombres.",FCA a Distancia: 71,FCA a Distancia: 7.77,"Asignación total de 2,058 lugares (conjunto todas las sedes)","Bases matemáticas, lectura y redacción. Gusto por el análisis financiero, los números y la sistematización de información. Ética, responsabilidad y honestidad. Capacidad de análisis y síntesis.","El Contador Público es el profesional que genera, analiza e interpreta información financiera para la toma de decisiones en las organizaciones, cumpliendo con las disposiciones fiscales y legales vigentes.","contaduría, contabilidad, finanzas, auditoría, impuestos, estados financieros, costos, fiscal","19,3285","-99,1882",
Contaduría - FES Cuautitlán,"FES Cuautitlán, Estado de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 9,158. La asignación total de lugares para esta carrera fue de 2,058, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 54% del alumnado de primer ingreso son mujeres y 46% hombres.",FES Cuautitlán: 56,FES Cuautitlán: 7.24,"Asignación total de 2,058 lugares (conjunto todas las sedes)","Bases matemáticas, lectura y redacción. Gusto por el análisis financiero, los números y la sistematización de información. Ética, responsabilidad y honestidad. Capacidad de análisis y síntesis.","El Contador Público es el profesional que genera, analiza e interpreta información financiera para la toma de decisiones en las organizaciones, cumpliendo con las disposiciones fiscales y legales vigentes.","contaduría, contabilidad, finanzas, auditoría, impuestos, estados financieros, costos, fiscal","19,6856","-99,1822",
Derecho - Facultad de Derecho,"Facultad de Derecho, Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 25,353. La asignación total de lugares para esta carrera fue de 3,243, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 56% del alumnado de primer ingreso son mujeres y 44% hombres.",Facultad de Derecho: 87,Facultad de Derecho: 7.96,"Asignación total de 3,243 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Sociales o Humanidades. Habilidad para la expresión oral y escrita. Capacidad de análisis, argumentación y debate. Interés por la justicia, el orden social y las leyes. Ética y vocación de servicio.","El abogado es el profesional que conoce, interpreta y aplica el derecho para la defensa de los intereses de las personas, la resolución de conflictos y el mantenimiento del orden jurídico en la sociedad.","derecho, leyes, abogacía, justicia, jurisprudencia, litigio, derecho penal, derecho civil, derecho constitucional","19,3312","-99,1884",
Derecho - FES Acatlán,"FES Acatlán, Estado de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 25,353. La asignación total de lugares para esta carrera fue de 3,243, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 56% del alumnado de primer ingreso son mujeres y 44% hombres.",FES Acatlán: 74,FES Acatlán: 7.69,"Asignación total de 3,243 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Sociales o Humanidades. Habilidad para la expresión oral y escrita. Capacidad de análisis, argumentación y debate. Interés por la justicia, el orden social y las leyes. Ética y vocación de servicio.","El abogado es el profesional que conoce, interpreta y aplica el derecho para la defensa de los intereses de las personas, la resolución de conflictos y el mantenimiento del orden jurídico en la sociedad.","derecho, leyes, abogacía, justicia, jurisprudencia, litigio, derecho penal, derecho civil, derecho constitucional","19,5135","-99,2484",
Derecho - FES Aragón,"FES Aragón, Estado de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 25,353. La asignación total de lugares para esta carrera fue de 3,243, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 56% del alumnado de primer ingreso son mujeres y 44% hombres.",FES Aragón: 74,FES Aragón: 7.64,"Asignación total de 3,243 lugares (conjunto todas las sedes)","Haber cursado el Área de las Ciencias Sociales o Humanidades. Habilidad para la expresión oral y escrita. Capacidad de análisis, argumentación y debate. Interés por la justicia, el orden social y las leyes. Ética y vocación de servicio.","El abogado es el profesional que conoce, interpreta y aplica el derecho para la defensa de los intereses de las personas, la resolución de conflictos y el mantenimiento del orden jurídico en la sociedad.","derecho, leyes, abogacía, justicia, jurisprudencia, litigio, derecho penal, derecho civil, derecho constitucional","19,4799","-99,0481",
Desarrollo Comunitario para el Envejecimiento - FES Zaragoza,"FES Zaragoza, Estado de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 277. La asignación total de lugares para esta carrera fue de 58, por lo que de cada 5 estudiantes que demandaron la carrera, ingresó 1. El 78% del alumnado de primer ingreso son mujeres y 22% hombres.",FES Zaragoza: 61,FES Zaragoza: 7.30,Asignación total de 58 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud o Ciencias Sociales. Interés por el adulto mayor, el envejecimiento y el desarrollo comunitario. Vocación de servicio, empatía y sensibilidad social.","Esta licenciatura forma profesionales capaces de diseñar, implementar y evaluar programas y políticas de desarrollo comunitario orientados a mejorar la calidad de vida de las personas adultas mayores.","gerontología, envejecimiento, adulto mayor, desarrollo comunitario, calidad de vida, políticas públicas, trabajo social","19,3936","-99,0383",
Desarrollo Territorial - FES Acatlán,"FES Acatlán, Estado de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 358. La asignación total de lugares para esta carrera fue de 68, por lo que de cada 5 estudiantes que demandaron la carrera, ingresó 1. El 51% del alumnado de primer ingreso son mujeres y 49% hombres.",FES Acatlán: 62,FES Acatlán: 7.44,Asignación total de 68 lugares,"Haber cursado el Área de las Ciencias Sociales. Interés por la planeación urbana y regional, el desarrollo sustentable y las políticas públicas. Capacidad de análisis espacial y manejo de información geográfica.","El licenciado en Desarrollo Territorial analiza, planea y gestiona el territorio desde una perspectiva multidisciplinaria para promover un desarrollo regional equilibrado, sustentable y socialmente incluyente.","desarrollo territorial, planeación regional, urbanismo, geografía económica, desarrollo sustentable, políticas territoriales, ordenamiento territorial","19,5135","-99,2484",
Desarrollo y Gestión Interculturales - FFyL,"Facultad de Filosofía y Letras, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 276. La asignación total de lugares para esta carrera fue de 85, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 62% del alumnado de primer ingreso son mujeres y 38% hombres.",Facultad de Filosofía y Letras: 69,Facultad de Filosofía y Letras: 7.75,Asignación total de 85 lugares,"Haber cursado el Área de las Humanidades y Artes o Ciencias Sociales. Interés por la diversidad cultural, el diálogo intercultural y la gestión cultural. Sensibilidad social y capacidad de mediación.","El licenciado en Desarrollo y Gestión Interculturales es un profesional que promueve el diálogo y la cooperación entre culturas, diseñando y gestionando proyectos que fomenten el respeto a la diversidad cultural.","interculturalidad, gestión cultural, diversidad cultural, diálogo intercultural, mediación, desarrollo cultural, patrimonio cultural","19,3349","-99,1879",
Diseño Gráfico - FAD Xochimilco,"Facultad de Artes y Diseño, Xochimilco, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 3,848. La asignación total de lugares para esta carrera fue de 366, por lo que de cada 11 estudiantes que demandaron la carrera, ingresó 1. El 60% del alumnado de primer ingreso son mujeres y 40% hombres.",FAD: 81,FAD: 7.90,Asignación total de 366 lugares (conjunto con FES Acatlán),"Haber cursado el Área de las Humanidades y Artes o Físico-Matemáticas. Creatividad, habilidad para el dibujo y manejo de formas y colores. Conocimientos de computación. Capacidad de comunicación visual.","El diseñador gráfico es el profesional que comunica visualmente ideas, mensajes e información a través de la creación de imágenes y la composición tipográfica, utilizando diversos medios impresos y digitales.","diseño gráfico, comunicación visual, ilustración, tipografía, diseño editorial, identidad corporativa, diseño digital","19,2637","-99,1056",
Diseño Gráfico - FES Acatlán,"FES Acatlán, Estado de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 3,848. La asignación total de lugares para esta carrera fue de 366, por lo que de cada 11 estudiantes que demandaron la carrera, ingresó 1. El 60% del alumnado de primer ingreso son mujeres y 40% hombres.",FES Acatlán: 74,FES Acatlán: 7.88,Asignación total de 366 lugares (conjunto con FAD),"Haber cursado el Área de las Humanidades y Artes o Físico-Matemáticas. Creatividad, habilidad para el dibujo y manejo de formas y colores. Conocimientos de computación. Capacidad de comunicación visual.","El diseñador gráfico es el profesional que comunica visualmente ideas, mensajes e información a través de la creación de imágenes y la composición tipográfica, utilizando diversos medios impresos y digitales.","diseño gráfico, comunicación visual, ilustración, tipografía, diseño editorial, identidad corporativa, diseño digital","19,5135","-99,2484",
Diseño Industrial - Facultad de Arquitectura,"Facultad de Arquitectura, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,772. La asignación total de lugares para esta carrera fue de 368, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 48% del alumnado de primer ingreso son mujeres y 52% hombres.",Facultad de Arquitectura: 86,Facultad de Arquitectura: 7.97,Asignación total de 368 lugares (conjunto con FES Aragón),"Haber cursado el Área de las Ciencias Físico-Matemáticas. Creatividad, habilidad para el dibujo y la representación tridimensional. Interés por la tecnología, los materiales y los procesos de fabricación.","El diseñador industrial crea, proyecta y desarrolla objetos y productos que satisfacen necesidades humanas, considerando aspectos estéticos, funcionales, ergonómicos, productivos y comerciales.","diseño industrial, diseño de productos, ergonomía, materiales, procesos de fabricación, innovación, mobiliario","19,3326","-99,1866",
Diseño Industrial - FES Aragón,"FES Aragón, Estado de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,772. La asignación total de lugares para esta carrera fue de 368, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 48% del alumnado de primer ingreso son mujeres y 52% hombres.",FES Aragón: 73,FES Aragón: 7.85,Asignación total de 368 lugares (conjunto con Facultad de Arquitectura),"Haber cursado el Área de las Ciencias Físico-Matemáticas. Creatividad, habilidad para el dibujo y la representación tridimensional. Interés por la tecnología, los materiales y los procesos de fabricación.","El diseñador industrial crea, proyecta y desarrolla objetos y productos que satisfacen necesidades humanas, considerando aspectos estéticos, funcionales, ergonómicos, productivos y comerciales.","diseño industrial, diseño de productos, ergonomía, materiales, procesos de fabricación, innovación, mobiliario","19,4799","-99,0481",
Diseño y Comunicación Visual - FES Cuautitlán,"FES Cuautitlán, Estado de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,647. La asignación total de lugares para esta carrera fue de 192, por lo que de cada 9 estudiantes que demandaron la carrera, ingresó 1. El 57% del alumnado de primer ingreso son mujeres y 43% hombres.",FES Cuautitlán: 60,FES Cuautitlán: 7.62,Asignación total de 192 lugares,"Haber cursado el Área de las Humanidades y Artes o Físico-Matemáticas. Creatividad, sensibilidad estética y habilidades para el dibujo y la composición visual. Interés por la comunicación y las nuevas tecnologías.","El licenciado en Diseño y Comunicación Visual es un profesional que utiliza el lenguaje visual para resolver problemas de comunicación, creando mensajes efectivos para audiencias específicas a través de medios impresos y digitales.","diseño, comunicación visual, diseño gráfico, ilustración digital, multimedia, animación, fotografía","19,6856","-99,1822",
Ecología - ENES Morelia,"ENES Unidad Morelia, Michoacán","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 385. La asignación total de lugares para esta carrera fue de 69, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 57% del alumnado de primer ingreso son mujeres y 43% hombres.",ENES Unidad Morelia: 60,ENES Unidad Morelia: 7.58,Asignación total de 69 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Interés por la naturaleza, los ecosistemas y la biodiversidad. Gusto por el trabajo de campo y la investigación científica.","El ecólogo estudia las relaciones entre los seres vivos y su ambiente, analizando la estructura y función de los ecosistemas para contribuir a su conservación y manejo sustentable.","ecología, ecosistemas, biodiversidad, conservación, medio ambiente, recursos naturales, manejo de ecosistemas","19,649","-101,225",
Economía - Facultad de Economía,"Facultad de Economía, Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 3,146. La asignación total de lugares para esta carrera fue de 712, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 47% del alumnado de primer ingreso son mujeres y 53% hombres.",Facultad de Economía: 72,Facultad de Economía: 7.56,Asignación total de 712 lugares,"Haber cursado el Área de las Ciencias Sociales. Conocimientos de matemáticas y estadística. Interés por los fenómenos económicos, las finanzas y el desarrollo nacional e internacional. Capacidad analítica.","El economista analiza la producción, distribución y consumo de bienes y servicios. Estudia el comportamiento de los agentes económicos y propone políticas para el desarrollo y la estabilidad económica.","economía, macroeconomía, microeconomía, finanzas, desarrollo económico, comercio internacional, políticas económicas","19,3281","-99,1872",
Economía Industrial - ENES León,"ENES Unidad León, Guanajuato",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 84. La asignación total de lugares para esta carrera fue de 43, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 42% del alumnado de primer ingreso son mujeres y 58% hombres.",ENES Unidad León: 45,ENES Unidad León: 7.40,Información no disponible,"Haber cursado el Área de las Ciencias Sociales o Físico-Matemáticas. Interés por la industria, la producción, las cadenas de valor y el desarrollo económico regional.","El licenciado en Economía Industrial analiza la estructura y dinámica de los sectores industriales, evaluando su competitividad y proponiendo estrategias para el desarrollo productivo y la innovación.","economía industrial, desarrollo económico, sectores productivos, industria, competitividad, cadenas de valor, innovación","21,0382","-101,6589",
Enfermería - FES Iztacala,"FES Iztacala, Estado de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,148. La asignación total de lugares para esta carrera fue de 386, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 77% del alumnado de primer ingreso son mujeres y 23% hombres.",FES Iztacala: 70,FES Iztacala: 7.61,Asignación total de 386 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Vocación de servicio, empatía y sensibilidad humana. Capacidad de trabajo en equipo y manejo del estrés.","El licenciado en Enfermería es el profesional que proporciona cuidados integrales de salud a la persona, familia y comunidad, aplicando el proceso de enfermería en la prevención, tratamiento y rehabilitación de enfermedades.","enfermería, cuidados de salud, atención sanitaria, salud comunitaria, enfermería clínica, salud pública, cuidado del paciente","19,5207","-99,1898",
Enfermería y Obstetricia - FES Zaragoza,"FES Zaragoza, Estado de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,356. La asignación total de lugares para esta carrera fue de 238, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 82% del alumnado de primer ingreso son mujeres y 18% hombres.",FES Zaragoza: 70,FES Zaragoza: 7.62,Asignación total de 238 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Vocación de servicio, empatía y sensibilidad hacia la mujer y el recién nacido. Capacidad de trabajo en equipo y bajo presión.","El licenciado en Enfermería y Obstetricia brinda cuidados de enfermería especializados durante el embarazo, parto y puerperio, así como atención al recién nacido y salud reproductiva de la mujer.","enfermería, obstetricia, salud materno-infantil, parto, puerperio, neonatología, salud reproductiva, ginecología","19,3936","-99,0383",
Enseñanza de (Alemán) (Español) (Francés) (Inglés) (Italiano) Como Lengua Extranjera - FES Acatlán,"FES Acatlán, Estado de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 604. La asignación total de lugares para esta carrera fue de 171, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 70% del alumnado de primer ingreso son mujeres y 30% hombres.",FES Acatlán: 54,FES Acatlán: 7.49,Asignación total de 171 lugares,Haber cursado el Área de las Humanidades y Artes. Conocimiento previo del idioma que se desea enseñar. Habilidad para la comunicación y gusto por la docencia. Interés por la cultura y la lingüística.,"El licenciado en Enseñanza de Lenguas Extranjeras está formado para planear, conducir y evaluar procesos de enseñanza-aprendizaje de un idioma extranjero, con base en teorías lingüísticas, pedagógicas y didácticas.","enseñanza de lenguas, lingüística aplicada, docencia, idiomas, alemán, español, francés, inglés, italiano","19,5135","-99,2484",
Enseñanza de Inglés - FES Acatlán,"FES Acatlán, Estado de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,282. La asignación total de lugares para esta carrera fue de 204, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 66% del alumnado de primer ingreso son mujeres y 34% hombres.",FES Acatlán: 58,FES Acatlán: 7.55,Asignación total de 204 lugares,Haber cursado el Área de las Humanidades y Artes. Conocimiento previo del idioma inglés. Habilidad para la comunicación y gusto por la docencia. Interés por la cultura anglosajona y la lingüística.,"El licenciado en Enseñanza de Inglés está capacitado para diseñar, implementar y evaluar programas de enseñanza del inglés como lengua extranjera en diversos contextos educativos.","enseñanza de inglés, docencia, inglés como lengua extranjera, lingüística aplicada, pedagogía, didáctica del inglés","19,5135","-99,2484",
Estudios Latinoamericanos - FFyL,"Facultad de Filosofía y Letras, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 209. La asignación total de lugares para esta carrera fue de 108, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 58% del alumnado de primer ingreso son mujeres y 42% hombres.",Facultad de Filosofía y Letras: 65,Facultad de Filosofía y Letras: 7.73,Asignación total de 108 lugares,"Haber cursado el Área de las Humanidades y Artes o Ciencias Sociales. Interés por la historia, cultura, sociedad y política de América Latina. Capacidad de análisis crítico e investigación.","El latinoamericanista es un profesional con una visión integral de la región, que analiza sus procesos históricos, culturales, sociales y políticos para comprender su realidad y contribuir a su desarrollo.","estudios latinoamericanos, América Latina, historia, cultura, sociedad, política, integración regional, pensamiento latinoamericano","19,3349","-99,1879",
